0761-0787	1409-1435	2732-2758	1031-1057	0221-0247	0923-0949	2246-2272	0383-0409	0356-0382	1787-1813	2489-2515	1760-1786
1436-1462	1058-1084	2705-2731	1463-1489	0977-1003	0950-0976	2219-2245	0167-0193	1868-1894	0599-0625	2462-2488	0302-0328
0842-0868	1490-1516	2759-2785	0707-0733	1004-1030	0055-0081	2273-2299	0410-0436	1841-1867	1814-1840	2516-2542	1733-1759
1085-1111	1517-1543	2813-2839	0815-0841	0464-0490	1193-1219	2327-2353	0028-0054	1922-1948	1949-1975	2570-2596	0572-0598
1544-1570	0896-0922	2786-2812	1571-1597	1220-1246	0248-0274	2300-2326	1247-1273	1895-1921	0653-0679	2543-2569	2030-2056
0788-0814	1598-1624	2840-2866	1112-1138	0001-0027	1274-1300	2354-2380	0437-0463	0545-0571	1976-2002	2597-2623	2003-2029
3272-3298	3353-3379	3434-3460	3515-3541	2948-2974	3029-3055	3110-3136	3191-3217	3596-3622	3677-3703	3758-3784	3839-3865
3299-3325	3380-3406	3461-3487	3542-3568	2975-3001	3056-3082	3137-3163	3218-3244	3623-3649	3704-3730	3785-3811	3866-3892
3326-3352	3407-3433	3488-3514	3569-3595	3002-3028	3083-3109	3164-3190	3245-3271	3650-3676	3731-3757	3812-3838	3893-3919
1139-1165	1625-1651	2894-2920	0680-0706	1301-1327	0140-0166	2408-2434	0491-0517	0626-0652	0275-0301	2651-2677	2084-2110
1679-1705	1166-1192	2867-2893	1706-1732	0082-0108	1328-1354	2381-2407	1355-1381	2192-2218	2111-2137	2624-2650	2057-2083
0869-0895	1652-1678	2921-2947	0734-0760	0518-0544	1382-1408	2435-2461	0194-0220	2165-2191	2138-2164	2678-2704	0329-0355
